1,2,3,4,5,6,7,8,9
-0.500000,-0.140000,9.570000,0.010000,0.050000,0.200000,16.740000,-4.300000,10.710000
-0.580000,-0.140000,9.520000,0.020000,0.050000,0.190000,15.670000,-3.940000,10.370000
-0.620000,-0.160000,9.500000,0.020000,0.040000,0.180000,15.130000,-3.050000,9.160000
-0.570000,-0.200000,9.470000,0.020000,0.030000,0.170000,15.130000,-3.050000,9.160000
-0.560000,-0.220000,9.490000,0.020000,0.030000,0.170000,15.130000,-3.050000,9.160000
-0.550000,-0.180000,9.490000,0.020000,0.020000,0.170000,16.020000,-5.380000,10.370000
-0.530000,-0.190000,9.500000,0.030000,0.020000,0.160000,15.130000,-3.410000,10.890000
-0.550000,-0.140000,9.560000,0.020000,0.010000,0.160000,16.910000,-4.120000,10.190000
-0.600000,-0.150000,9.520000,0.020000,0.010000,0.160000,15.670000,-4.300000,8.980000
-0.560000,-0.140000,9.610000,0.020000,0.000000,0.150000,15.670000,-4.300000,10.020000
-0.560000,-0.210000,9.470000,0.010000,0.000000,0.140000,16.380000,-3.940000,10.020000
-0.520000,-0.220000,9.530000,0.010000,0.000000,0.140000,16.380000,-5.020000,10.370000
-0.450000,-0.220000,9.520000,0.020000,-0.010000,0.130000,15.670000,-3.580000,11.060000
-0.460000,-0.190000,9.440000,0.020000,0.000000,0.130000,15.310000,-5.380000,11.060000
-0.550000,-0.200000,9.510000,0.020000,0.000000,0.120000,16.740000,-5.380000,10.020000
-0.570000,-0.210000,9.480000,0.020000,-0.010000,0.120000,14.600000,-4.300000,10.370000
-0.560000,-0.160000,9.560000,0.020000,-0.010000,0.100000,16.200000,-4.480000,9.500000
-0.450000,-0.130000,9.520000,0.030000,-0.010000,0.090000,16.910000,-4.480000,11.580000
-0.490000,-0.190000,9.540000,0.030000,-0.010000,0.090000,16.910000,-4.480000,11.580000
-0.470000,-0.190000,9.560000,0.030000,-0.010000,0.080000,16.910000,-4.480000,11.580000
-0.450000,-0.170000,9.650000,0.020000,0.000000,0.070000,15.670000,-5.380000,11.400000
-0.420000,-0.130000,9.640000,0.020000,0.000000,0.070000,16.560000,-4.840000,10.540000
-0.450000,-0.190000,9.640000,0.020000,0.000000,0.060000,16.560000,-4.840000,11.230000
-0.450000,-0.140000,9.630000,0.010000,0.000000,0.050000,15.850000,-4.480000,10.190000
-0.430000,-0.120000,9.580000,0.010000,0.000000,0.040000,14.960000,-4.300000,10.710000
-0.450000,-0.100000,9.580000,0.010000,0.010000,0.020000,15.490000,-4.120000,9.160000
-0.480000,-0.150000,9.560000,0.010000,0.020000,0.020000,16.910000,-4.840000,9.850000
-0.490000,-0.130000,9.500000,0.010000,0.010000,0.010000,15.490000,-5.560000,9.850000
-0.440000,-0.140000,9.510000,0.010000,0.010000,-0.010000,16.020000,-4.660000,10.710000
-0.480000,-0.180000,9.520000,0.010000,0.020000,-0.020000,16.740000,-4.660000,10.370000
-0.550000,-0.230000,9.480000,0.010000,0.010000,-0.020000,16.020000,-4.300000,9.680000
-0.480000,-0.280000,9.570000,0.010000,0.020000,-0.030000,17.270000,-5.200000,9.850000
-0.430000,-0.350000,9.490000,0.010000,0.010000,-0.040000,15.670000,-4.300000,10.370000
-0.460000,-0.390000,9.320000,0.020000,0.010000,-0.030000,15.670000,-4.300000,10.370000
-0.430000,-0.410000,9.330000,0.040000,0.010000,-0.030000,15.670000,-4.300000,10.370000
-0.390000,-0.450000,9.190000,0.050000,0.010000,-0.040000,16.020000,-5.020000,9.330000
-0.480000,-0.510000,9.110000,0.070000,0.010000,-0.050000,16.380000,-4.660000,9.680000
